xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
43189.29,12416.44,9816.314,3911.872,3958.80166927064,2965.1794270271,34490.3590841172,
43223.27,12450.42,9862.889,3928.827,3958.61664595405,2971.74975520694,34480.8884175662,
43256.27,12483.41,9909.57,3945.864,3958.4366713434,2978.12620491417,34471.7065735295,
43289.35,12516.49,9956.404,3963,3958.2561328612,2984.50826545594,34462.5175577913,
43322.54,12549.69,10004.04,3980.487,3958.07486578362,2990.90169800795,34453.3089589136,
43356.32,12583.47,10051.08,3997.784,3957.89044074374,2997.39181774906,34443.9541629292,
43389.68,12616.83,10098.2,4015.155,3957.70807869428,3003.79485646921,34434.7287962883,
43423.12,12650.26,10144.89,4032.399,3957.5252507037,3010.19989196921,34425.4971314876,
43456.25,12683.39,10192.38,4049.992,3957.34386000895,3016.54045238043,34416.3615953835,
43489.95,12717.09,10239.13,4067.342,3957.1593691796,3022.97504134835,34407.0813045005,
43523.14,12750.29,10285.44,4084.562,3956.97743892424,3029.30625375748,34397.9550727964,
43556.04,12783.18,10332.51,4102.115,3956.79698757008,3035.57228486942,34388.9260198705,
43589.47,12816.62,10380.06,4119.898,3956.61358245893,3041.92697365243,34379.7611187298,
43623.26,12850.39,10426.04,4137.108,3956.42835991121,3048.33049126443,34370.5102001599,
43655.94,12883.07,10473.73,4155.03,3956.24872142547,3054.52746497244,34361.5789856241,
43689.85,12916.98,10520.57,4172.657,3956.06252206878,3060.93683381904,34352.3282636081,
43723.16,12950.29,10568.01,4190.565,3955.87936529759,3067.22771704871,34343.2535307388,
43756.92,12984.04,10614.28,4208.044,3955.69378316767,3073.58807801613,34334.0725088536,
43789.84,13016.96,10661.05,4225.767,3955.51250318243,3079.78763929213,34325.1317882672,
43823.13,13050.25,10707.68,4243.473,3955.32914268227,3086.04500765263,34316.1010439649,
43856.33,13083.45,10754.16,4261.156,3955.14619664587,3092.27493812619,34307.1109834975,
43889.42,13116.54,10801.64,4279.283,3954.96370813422,3098.47613909376,34298.160651219,
43923.25,13150.37,10848.48,4297.193,3954.77726421856,3104.79826903587,34289.0265427514,
43956.63,13183.75,10894.87,4314.964,3954.59311764796,3111.0292043107,34280.0281066011,
43989.69,13216.81,10941.62,4332.917,3954.41051067567,3117.19507652492,34271.126178372,
44023.02,13250.14,10988.95,4351.146,3954.22643584494,3123.39752040102,34262.1669825519,
44056.78,13283.9,11034.86,4368.839,3954.04003685367,3129.66506473204,34253.1077431337,
44089.52,13316.64,11081.96,4387.056,3953.8588570008,3135.74445198971,34244.3303444992,
44123.14,13350.25,11128.56,4405.109,3953.67305084442,3141.96617947554,34235.337324493,
44156.4,13383.52,11174.98,4423.131,3953.48900174758,3148.11627652055,34226.4502194549,
44189.54,13416.66,11221.45,4441.207,3953.30548842373,3154.23586590529,34217.6059283364,
44222.72,13449.84,11268.96,4459.756,3953.12170758011,3160.35183595552,34208.7656143672,
44256.67,13483.79,11315.13,4477.788,3952.93382661137,3166.59135567626,34199.7326621355,
44289.65,13515.14,11361.49,4495.939,3952.76704253533,3172.11938497549,34190.5413741793,
44322.79,13544.99,11411.18,4515.5,3952.61575073985,3177.12513427733,34180.8819419764,
44358.33,13575.11,11454.94,4532.639,3952.47290320695,3181.84385169762,34170.0286143581,
44389.61,13600.15,11501.49,4550.953,3952.36066999673,3185.54609585039,34160.0954389354,
44422.9,13625.14,11548.58,4569.514,3952.2582569532,3188.92043655702,34149.0868512098,
44456.58,13648.72,11594.94,4587.792,3952.17167489496,3191.77023013528,34137.4980987929,
44489.75,13670.3,11641.15,4606.017,3952.10274244647,3194.03717558137,34125.6529626504,
44522.8,13690.16,11687.82,4624.451,3952.05037524388,3195.75821174872,34113.415291957,
44556.2,13708.55,11735.17,4643.171,3952.01425131136,3196.94484545031,34100.606117724,
44588.37,13725.49,11780.94,4661.239,3951.99020117818,3197.73460912006,34085.4921124905,
44617.84,13740.25,11827.1,4679.475,3951.97827632405,3198.12612365837,34068.9084960712,
44645.93,13753.5,11874.69,4698.302,3951.97813676414,3198.13070536264,34050.1635811584,
44673.16,13765.42,11920.63,4716.443,3951.9908548905,3197.71314509601,34028.7004119798,
44697.82,13775.31,11967.22,4734.849,3952.01448873596,3196.93704781912,34005.9858675479,
44721.16,13783.67,12014.16,4753.389,3952.05063262585,3195.74975534588,33980.899751504,
44742.98,13790.41,12060.25,4771.571,3952.09932604115,3194.14948486692,33953.5474940807,
44762.77,13795.38,12107.67,4790.288,3952.15873224042,3192.19599827735,33924.6839199073,
44781.41,13798.78,12154.14,4808.599,3952.23257299597,3189.76608859874,33892.86610595,
44798.02,13800.45,12200.44,4826.816,3952.31667108681,3186.99625011987,33859.6469684089,
